team_id	team_name	team_games	Net_Rush_Yds	Pass_Yds	Tot_Off	Plays	Yds_Per_Play	First_Downs_By_Penalty	Penalties	Penalties_Per_Game	Penalties_Yds_Per_Game	Tot_Off_Yards_Per_Game	opp_team_games	opp_Net_Rush_Yds	opp_Pass_Yds	opp_Tot_Off	opp_Plays	opp_Yds_Per_Play	opp_First_Downs_By_Penalty	opp_Penalties	opp_Penalties_Per_Game	opp_Penalties_Yds_Per_Game	opp_Tot_Off_Yards_Per_Game
768	West Virginia	13	2,967	3,269	479.69	1,051	0.00	33	87	6.69	70.00	479.69	13	2,967	3,269	479.69	1,051	0.00	33	87	6.69	70.00	479.69
706	UTSA	12	2,026	2,321	362.25	870	0.00	19	84	7.00	65.67	362.25	12	2,026	2,321	362.25	870	0.00	19	84	7.00	65.67	362.25
664	Southern Miss.	14	2,517	4,616	509.50	1,033	0.00	32	98	7.00	66.86	509.50	14	2,517	4,616	509.50	1,033	0.00	32	98	7.00	66.86	509.50
663	SMU	12	1,974	2,620	382.83	869	0.00	28	65	5.42	50.33	382.83	12	1,974	2,620	382.83	869	0.00	28	65	5.42	50.33	382.83
498	La.-Monroe	13	1,338	2,703	310.85	902	0.00	24	95	7.31	58.00	310.85	13	1,338	2,703	310.85	902	0.00	24	95	7.31	58.00	310.85
497	North Texas	12	1,904	1,937	320.08	843	0.00	16	74	6.17	56.75	320.08	12	1,904	1,937	320.08	843	0.00	16	74	6.17	56.75	320.08
490	North Carolina St.	13	2,627	2,740	385.85	953	0.00	15	72	5.54	52.85	385.85	13	2,627	2,740	385.85	953	0.00	15	72	5.54	52.85	385.85
690	Temple	14	2,096	3,038	366.71	956	0.00	32	81	5.79	55.21	366.71	14	2,096	3,038	366.71	956	0.00	32	81	5.79	55.21	366.71
27	Appalachian St.	13	3,529	2,546	467.31	902	0.00	24	84	6.46	56.85	467.31	13	3,529	2,546	467.31	902	0.00	24	84	6.46	56.85	467.31
697	Texas A&M	13	2,198	3,323	424.69	987	0.00	26	83	6.38	54.85	424.69	13	2,198	3,323	424.69	987	0.00	26	83	6.38	54.85	424.69
694	Tennessee	13	2,908	2,582	422.31	988	0.00	13	66	5.08	40.77	422.31	13	2,908	2,582	422.31	988	0.00	13	66	5.08	40.77	422.31
698	TCU	13	2,800	4,517	562.85	1,078	0.00	23	94	7.23	70.92	562.85	13	2,800	4,517	562.85	1,078	0.00	23	94	7.23	70.92	562.85
28	Arizona St.	13	2,319	3,888	477.46	1,070	0.00	19	60	4.62	39.85	477.46	13	2,319	3,888	477.46	1,070	0.00	19	60	4.62	39.85	477.46
29	Arizona	13	2,890	3,544	469.54	993	0.00	33	74	5.69	48.62	469.54	13	2,890	3,544	469.54	993	0.00	33	74	5.69	48.62	469.54
288	Houston	14	3,301	3,477	484.14	1,101	0.00	26	85	6.07	55.93	484.14	14	3,301	3,477	484.14	1,101	0.00	26	85	6.07	55.93	484.14
404	Memphis	13	2,333	3,997	486.92	1,028	0.00	25	99	7.62	75.08	486.92	13	2,333	3,997	486.92	1,028	0.00	25	99	7.62	75.08	486.92
400	Massachusetts	12	1,707	3,090	399.75	887	0.00	32	89	7.42	63.92	399.75	12	1,707	3,090	399.75	887	0.00	32	89	7.42	63.92	399.75
8	Alabama	15	2,999	3,407	427.07	1,088	0.00	25	89	5.93	55.67	427.07	15	2,999	3,407	427.07	1,088	0.00	25	89	5.93	55.67	427.07
719	Tulsa	13	2,264	4,332	507.38	1,083	0.00	34	91	7.00	56.15	507.38	13	2,264	4,332	507.38	1,083	0.00	34	91	7.00	56.15	507.38
718	Tulane	12	1,389	2,415	317.00	800	0.00	15	70	5.83	53.42	317.00	12	1,389	2,415	317.00	800	0.00	15	70	5.83	53.42	317.00
674	Stanford	14	3,132	2,965	435.50	928	0.00	27	78	5.57	46.29	435.50	14	3,132	2,965	435.50	928	0.00	27	78	5.57	46.29	435.50
716	Troy	12	1,429	2,890	359.92	799	0.00	18	80	6.67	57.58	359.92	12	1,429	2,890	359.92	799	0.00	18	80	6.67	57.58	359.92
670	Texas St.	12	2,248	2,752	416.67	901	0.00	18	73	6.08	55.92	416.67	12	2,248	2,752	416.67	901	0.00	18	73	6.08	55.92	416.67
671	UL Lafayette	12	2,074	2,491	380.42	837	0.00	23	85	7.08	71.08	380.42	12	2,074	2,491	380.42	837	0.00	23	85	7.08	71.08	380.42
651	South Fla.	13	3,205	2,536	441.62	893	0.00	19	79	6.08	54.92	441.62	13	3,205	2,536	441.62	893	0.00	19	79	6.08	54.92	441.62
128	UCF	12	975	2,246	268.42	781	0.00	20	64	5.33	45.08	268.42	12	975	2,246	268.42	781	0.00	20	64	5.33	45.08	268.42
129	Central Mich.	13	1,317	3,905	401.69	915	0.00	18	81	6.23	54.08	401.69	13	1,317	3,905	401.69	915	0.00	18	81	6.23	54.08	401.69
574	Rice	12	2,131	2,691	401.83	906	0.00	21	84	7.00	62.67	401.83	12	2,131	2,691	401.83	906	0.00	21	84	7.00	62.67	401.83
736	Vanderbilt	12	1,856	2,062	326.50	871	0.00	18	73	6.08	47.17	326.50	12	1,856	2,062	326.50	871	0.00	18	73	6.08	47.17	326.50
51	Baylor	13	4,247	3,764	616.23	1,103	0.00	19	118	9.08	80.23	616.23	13	4,247	3,764	616.23	1,103	0.00	19	118	9.08	80.23	616.23
414	Miami (OH)	12	1,556	2,502	338.17	802	0.00	20	89	7.42	61.33	338.17	12	1,556	2,502	338.17	802	0.00	20	89	7.42	61.33	338.17
415	Miami (FL)	13	1,548	3,606	396.46	873	0.00	18	121	9.31	83.62	396.46	13	1,548	3,606	396.46	873	0.00	18	121	9.31	83.62	396.46
416	Michigan St.	14	2,118	3,279	385.50	992	0.00	21	75	5.36	42.86	385.50	14	2,118	3,279	385.50	992	0.00	21	75	5.36	42.86	385.50
295	Idaho	12	1,766	3,375	428.42	930	0.00	29	54	4.50	42.67	428.42	12	1,766	3,375	428.42	930	0.00	29	54	4.50	42.67	428.42
418	Michigan	13	2,057	3,090	395.92	906	0.00	20	87	6.69	59.85	395.92	13	2,057	3,090	395.92	906	0.00	20	87	6.69	59.85	395.92
419	Middle Tenn.	13	1,894	4,052	457.38	1,004	0.00	17	62	4.77	42.31	457.38	13	1,894	4,052	457.38	1,004	0.00	17	62	4.77	42.31	457.38
539	Penn St.	13	1,744	2,788	348.62	829	0.00	26	67	5.15	40.69	348.62	13	1,744	2,788	348.62	829	0.00	26	67	5.15	40.69	348.62
709	Toledo	12	2,495	3,036	460.92	903	0.00	20	96	8.00	68.17	460.92	12	2,495	3,036	460.92	903	0.00	20	96	8.00	68.17	460.92
774	Western Mich.	13	2,660	3,720	490.77	930	0.00	13	81	6.23	55.54	490.77	13	2,660	3,720	490.77	930	0.00	13	81	6.23	55.54	490.77
704	UTEP	12	1,761	2,346	342.25	834	0.00	18	57	4.75	41.92	342.25	12	1,761	2,346	342.25	834	0.00	18	57	4.75	41.92	342.25
312	Iowa	14	2,544	2,862	386.14	937	0.00	26	73	5.21	48.79	386.14	14	2,544	2,862	386.14	937	0.00	26	73	5.21	48.79	386.14
311	Iowa St.	12	2,184	2,716	408.33	909	0.00	19	59	4.92	40.75	408.33	12	2,184	2,716	408.33	909	0.00	19	59	4.92	40.75	408.33
196	East Carolina	12	1,600	3,375	414.58	877	0.00	16	89	7.42	68.75	414.58	12	1,600	3,375	414.58	877	0.00	16	89	7.42	68.75	414.58
700	Texas Tech	13	2,487	5,046	579.46	1,084	0.00	24	92	7.08	64.31	579.46	13	2,487	5,046	579.46	1,084	0.00	24	92	7.08	64.31	579.46
193	Duke	13	2,508	3,204	439.38	1,033	0.00	34	71	5.46	47.31	439.38	13	2,508	3,204	439.38	1,033	0.00	34	71	5.46	47.31	439.38
703	Texas	12	2,698	1,751	370.75	781	0.00	10	77	6.42	59.08	370.75	12	2,698	1,751	370.75	781	0.00	10	77	6.42	59.08	370.75
392	Maryland	12	2,408	2,092	375.00	829	0.00	16	85	7.08	62.17	375.00	12	2,408	2,092	375.00	829	0.00	16	85	7.08	62.17	375.00
110	UCLA	13	2,308	3,749	465.92	969	0.00	17	108	8.31	70.46	465.92	13	2,308	3,749	465.92	969	0.00	17	108	8.31	70.46	465.92
277	Hawaii	13	1,611	2,501	316.31	847	0.00	26	107	8.23	69.00	316.31	13	1,611	2,501	316.31	847	0.00	26	107	8.23	69.00	316.31
86	Buffalo	12	1,643	2,994	386.42	880	0.00	18	84	7.00	64.00	386.42	12	1,643	2,994	386.42	880	0.00	18	84	7.00	64.00	386.42
796	Wisconsin	13	1,954	2,968	378.62	931	0.00	24	75	5.77	53.00	378.62	13	1,954	2,968	378.62	931	0.00	24	75	5.77	53.00	378.62
428	Minnesota	13	1,873	2,793	358.92	873	0.00	16	73	5.62	45.46	358.92	13	1,873	2,793	358.92	873	0.00	16	73	5.62	45.46	358.92
521	Oklahoma St.	13	1,649	4,591	480.00	977	0.00	21	75	5.77	50.54	480.00	13	1,649	4,591	480.00	977	0.00	21	75	5.77	50.54	480.00
522	Oklahoma	13	2,887	4,006	530.23	1,013	0.00	29	80	6.15	61.54	530.23	13	2,887	4,006	530.23	1,013	0.00	29	80	6.15	61.54	530.23
523	Old Dominion	12	1,821	2,634	371.25	834	0.00	15	49	4.08	36.42	371.25	12	1,821	2,634	371.25	834	0.00	15	49	4.08	36.42	371.25
366	Louisiana Tech	13	2,075	4,201	482.77	910	0.00	26	72	5.54	50.31	482.77	13	2,075	4,201	482.77	910	0.00	26	72	5.54	50.31	482.77
367	Louisville	13	2,223	3,186	416.08	900	0.00	21	97	7.46	62.62	416.08	13	2,223	3,186	416.08	900	0.00	21	97	7.46	62.62	416.08
365	LSU	12	3,082	2,165	437.25	783	0.00	21	96	8.00	64.50	437.25	12	3,082	2,165	437.25	783	0.00	21	96	8.00	64.50	437.25
528	Oregon St.	12	2,128	1,909	336.42	789	0.00	22	76	6.33	58.67	336.42	12	2,128	1,909	336.42	789	0.00	22	76	6.33	58.67	336.42
529	Oregon	13	3,639	3,358	538.23	993	0.00	24	90	6.92	61.00	538.23	13	3,639	3,358	538.23	993	0.00	24	90	6.92	61.00	538.23
587	Rutgers	12	2,039	2,485	377.00	806	0.00	13	79	6.58	52.00	377.00	12	2,039	2,485	377.00	806	0.00	13	79	6.58	52.00	377.00
301	Illinois	12	1,551	2,921	372.67	907	0.00	21	66	5.50	49.08	372.67	12	1,551	2,921	372.67	907	0.00	21	66	5.50	49.08	372.67
306	Indiana	13	2,736	3,820	504.31	1,053	0.00	28	91	7.00	59.85	504.31	13	2,736	3,820	504.31	1,053	0.00	28	91	7.00	59.85	504.31
388	Marshall	13	2,196	3,009	351.92	967	0.00	25	91	7.00	66.15	351.92	13	2,196	3,009	351.92	967	0.00	25	91	7.00	66.15	351.92
107	California	13	1,987	4,892	529.15	989	0.00	26	67	5.15	43.69	529.15	13	1,987	4,892	529.15	989	0.00	26	67	5.15	43.69	529.15
31	Arkansas	13	2,565	3,486	465.46	886	0.00	9	55	4.23	36.69	465.46	13	2,565	3,486	465.46	886	0.00	9	55	4.23	36.69	465.46
30	Arkansas St.	13	3,007	2,693	438.46	973	0.00	24	109	8.38	79.38	438.46	13	3,007	2,693	438.46	973	0.00	24	109	8.38	79.38	438.46
37	Auburn	13	2,553	2,257	370.00	893	0.00	10	62	4.77	46.38	370.00	13	2,553	2,257	370.00	893	0.00	10	62	4.77	46.38	370.00
519	Ohio	13	2,351	3,019	413.08	950	0.00	28	91	7.00	71.62	413.08	13	2,351	3,019	413.08	950	0.00	28	91	7.00	71.62	413.08
518	Ohio St.	13	3,188	2,455	434.08	892	0.00	15	76	5.85	50.46	434.08	13	3,188	2,455	434.08	892	0.00	15	76	5.85	50.46	434.08
646	South Ala.	12	1,928	2,394	360.17	833	0.00	19	81	6.75	57.75	360.17	12	1,928	2,394	360.17	833	0.00	19	81	6.75	57.75	360.17
648	South Carolina	12	1,856	2,490	362.17	774	0.00	12	60	5.00	39.00	362.17	12	1,856	2,490	362.17	774	0.00	12	60	5.00	39.00	362.17
513	Notre Dame	13	2,699	3,364	466.38	864	0.00	20	67	5.15	45.08	466.38	13	2,699	3,364	466.38	864	0.00	20	67	5.15	45.08	466.38
433	Ole Miss	13	2,380	4,351	517.77	952	0.00	28	79	6.08	54.00	517.77	13	2,380	4,351	517.77	952	0.00	28	79	6.08	54.00	517.77
430	Mississippi St.	13	1,873	4,113	460.46	927	0.00	12	53	4.08	38.92	460.46	13	1,873	4,113	460.46	927	0.00	12	53	4.08	38.92	460.46
458	Charlotte	12	1,957	2,089	311.58	937	0.00	15	64	5.33	54.33	311.58	12	1,957	2,089	311.58	937	0.00	15	64	5.33	54.33	311.58
626	San Diego St.	14	3,266	1,988	375.29	927	0.00	25	89	6.36	58.07	375.29	14	3,266	1,988	375.29	927	0.00	25	89	6.36	58.07	375.29
334	Kentucky	12	1,952	2,512	372.00	816	0.00	19	69	5.75	56.33	372.00	12	1,952	2,512	372.00	816	0.00	19	69	5.75	56.33	372.00
331	Kent St.	12	1,593	1,657	270.83	790	0.00	15	93	7.75	72.67	270.83	12	1,593	1,657	270.83	790	0.00	15	93	7.75	72.67	270.83
457	North Carolina	14	3,142	3,675	486.93	936	0.00	31	80	5.71	46.43	486.93	14	3,142	3,675	486.93	936	0.00	31	80	5.71	46.43	486.93
66	Boise St.	13	2,488	4,032	475.62	1,079	0.00	28	82	6.31	53.15	475.62	13	2,488	4,032	475.62	1,079	0.00	28	82	6.31	53.15	475.62
67	Boston College	12	1,973	1,334	120.08	751	0.00	19	78	6.50	57.42	120.08	12	1,973	1,334	120.08	751	0.00	19	78	6.50	57.42	120.08
253	Ga. Southern	13	4,719	824	426.38	865	0.00	15	67	5.15	48.38	426.38	13	4,719	824	426.38	865	0.00	15	67	5.15	48.38	426.38
257	Georgia	13	2,498	2,406	377.23	813	0.00	11	67	5.15	45.54	377.23	13	2,498	2,406	377.23	813	0.00	11	67	5.15	45.54	377.23
254	Georgia St.	13	1,260	4,367	432.85	903	0.00	22	92	7.08	65.54	432.85	13	1,260	4,367	432.85	903	0.00	22	92	7.08	65.54	432.85
255	Georgia Tech	12	3,074	1,462	378.00	775	0.00	17	38	3.17	27.42	378.00	12	3,074	1,462	378.00	775	0.00	17	38	3.17	27.42	378.00
746	Virginia	12	1,737	2,859	383.00	837	0.00	21	91	7.58	63.83	383.00	12	1,737	2,859	383.00	837	0.00	21	91	7.58	63.83	383.00
731	Utah St.	13	2,146	2,672	351.08	884	0.00	25	83	6.38	58.92	351.08	13	2,146	2,672	351.08	884	0.00	25	83	6.38	58.92	351.08
657	Southern California	14	2,355	3,776	437.93	990	0.00	20	103	7.36	68.64	437.93	14	2,355	3,776	437.93	990	0.00	20	103	7.36	68.64	437.93
732	Utah	13	2,379	2,340	336.38	923	0.00	25	72	5.54	53.31	336.38	13	2,379	2,340	336.38	923	0.00	25	72	5.54	53.31	336.38
509	Northwestern	13	2,451	1,801	327.08	952	0.00	18	58	4.46	39.69	327.08	13	2,451	1,801	327.08	952	0.00	18	58	4.46	39.69	327.08
503	Northern Ill.	14	2,661	2,918	387.57	1,047	0.00	14	80	5.71	49.64	387.57	14	2,661	2,918	387.57	1,047	0.00	14	80	5.71	49.64	387.57
630	San Jose St.	13	2,378	2,882	404.62	922	0.00	17	57	4.38	35.69	404.62	13	2,378	2,882	404.62	922	0.00	17	57	4.38	35.69	404.62
756	Washington	13	2,130	3,110	214.08	873	0.00	13	71	5.46	50.08	214.08	13	2,130	3,110	214.08	873	0.00	13	71	5.46	50.08	214.08
754	Washington St.	13	1,041	5,064	445.08	1,032	0.00	19	70	5.38	38.31	445.08	13	1,041	5,064	445.08	1,032	0.00	19	70	5.38	38.31	445.08
465	UNLV	12	2,324	2,537	362.83	865	0.00	24	57	4.75	44.83	362.83	12	2,324	2,537	362.83	865	0.00	24	57	4.75	44.83	362.83
466	Nevada	13	2,738	2,139	375.15	887	0.00	17	68	5.23	46.77	375.15	13	2,738	2,139	375.15	887	0.00	17	68	5.23	46.77	375.15
545	Pittsburgh	13	2,429	2,478	377.46	852	0.00	14	65	5.00	40.77	377.46	13	2,429	2,478	377.46	852	0.00	14	65	5.00	40.77	377.46
463	Nebraska	13	2,340	3,470	446.92	954	0.00	22	94	7.23	63.77	446.92	13	2,340	3,470	446.92	954	0.00	22	94	7.23	63.77	446.92
229	Fla. Atlantic	12	1,977	2,557	377.83	891	0.00	22	75	6.25	57.25	377.83	12	1,977	2,557	377.83	891	0.00	22	75	6.25	57.25	377.83
811	Wyoming	12	2,081	2,247	360.67	786	0.00	23	75	6.25	56.75	360.67	12	2,081	2,247	360.67	786	0.00	23	75	6.25	56.75	360.67
164	UConn	13	1,622	2,412	310.31	819	0.00	20	74	5.69	45.77	310.31	13	1,622	2,412	310.31	819	0.00	20	74	5.69	45.77	310.31
96	Fresno St.	12	1,642	2,140	315.17	826	0.00	20	59	4.92	39.25	315.17	12	1,642	2,140	315.17	826	0.00	20	59	4.92	39.25	315.17
726	Navy	13	4,247	1,280	425.15	870	0.00	15	40	3.08	26.08	425.15	13	4,247	1,280	425.15	870	0.00	15	40	3.08	26.08	425.15
725	Army West Point	12	2,931	1,128	338.25	724	0.00	13	48	4.00	39.50	338.25	12	2,931	1,128	338.25	724	0.00	13	48	4.00	39.50	338.25
721	Air Force	14	4,468	1,847	451.07	986	0.00	16	53	3.79	38.00	451.07	14	4,468	1,847	451.07	986	0.00	16	53	3.79	38.00	451.07
742	Virginia Tech	13	2,070	2,936	364.00	939	0.00	21	96	7.38	62.77	364.00	13	2,070	2,936	364.00	939	0.00	21	96	7.38	62.77	364.00
559	Purdue	12	1,576	2,847	368.58	921	0.00	25	65	5.42	53.92	368.58	12	1,576	2,847	368.58	921	0.00	25	65	5.42	53.92	368.58
157	Colorado	13	2,031	3,128	396.85	1,008	0.00	21	80	6.15	55.69	396.85	13	2,031	3,128	396.85	1,008	0.00	21	80	6.15	55.69	396.85
156	Colorado St.	13	2,571	2,965	384.77	926	0.00	23	97	7.46	69.08	384.77	13	2,571	2,965	384.77	926	0.00	23	97	7.46	69.08	384.77
749	Wake Forest	12	1,262	2,739	333.42	834	0.00	30	61	5.08	46.42	333.42	12	1,262	2,739	333.42	834	0.00	30	61	5.08	46.42	333.42
234	Florida St.	13	2,187	3,325	407.31	844	0.00	20	89	6.85	54.00	407.31	13	2,187	3,325	407.31	844	0.00	20	89	6.85	54.00	407.31
235	Florida	14	1,777	2,899	334.00	915	0.00	9	91	6.50	52.64	334.00	14	1,777	2,899	334.00	915	0.00	9	91	6.50	52.64	334.00
231	FIU	12	1,319	2,854	347.75	825	0.00	22	69	5.75	49.50	347.75	12	1,319	2,854	347.75	825	0.00	22	69	5.75	49.50	347.75
47	Ball St.	12	1,840	2,619	371.58	896	0.00	24	44	3.67	35.42	371.58	12	1,840	2,619	371.58	896	0.00	24	44	3.67	35.42	371.58
5	Akron	13	2,134	2,508	357.08	905	0.00	26	99	7.62	65.00	357.08	13	2,134	2,508	357.08	905	0.00	26	99	7.62	65.00	357.08
327	Kansas St.	13	2,050	2,288	333.69	876	0.00	25	66	5.08	38.85	333.69	13	2,050	2,288	333.69	876	0.00	25	66	5.08	38.85	333.69
328	Kansas	12	1,355	2,623	331.50	897	0.00	13	70	5.83	56.17	331.50	12	1,355	2,623	331.50	897	0.00	13	70	5.83	56.17	331.50
147	Clemson	15	3,345	4,373	514.53	1,207	0.00	30	84	5.60	46.27	514.53	15	3,345	4,373	514.53	1,207	0.00	30	84	5.60	46.27	514.53
204	Eastern Mich.	12	1,894	2,666	380.00	830	0.00	16	81	6.75	58.42	380.00	12	1,894	2,666	380.00	830	0.00	16	81	6.75	58.42	380.00
140	Cincinnati	13	2,313	4,679	537.85	1,059	0.00	27	104	8.00	72.92	537.85	13	2,313	4,679	537.85	1,059	0.00	27	104	8.00	72.92	537.85
772	Western Ky.	14	2,158	5,211	526.36	1,019	0.00	19	83	5.93	57.86	526.36	14	2,158	5,211	526.36	1,019	0.00	19	83	5.93	57.86	526.36
77	BYU	13	1,668	3,854	424.77	917	0.00	27	85	6.54	57.69	424.77	13	1,668	3,854	424.77	917	0.00	27	85	6.54	57.69	424.77
71	Bowling Green	14	2,520	5,135	546.79	1,136	0.00	34	123	8.79	80.21	546.79	14	2,520	5,135	546.79	1,136	0.00	34	123	8.79	80.21	546.79
434	Missouri	12	1,385	1,986	280.92	770	0.00	20	63	5.25	43.08	280.92	12	1,385	1,986	280.92	770	0.00	20	63	5.25	43.08	280.92
472	New Mexico St.	12	2,166	3,034	433.33	896	0.00	20	77	6.42	58.25	433.33	12	2,166	3,034	433.33	896	0.00	20	77	6.42	58.25	433.33
473	New Mexico	13	3,278	1,768	388.15	868	0.00	13	89	6.85	64.62	388.15	13	3,278	1,768	388.15	868	0.00	13	89	6.85	64.62	388.15
688	Syracuse	12	1,958	1,881	319.92	751	0.00	25	64	5.33	48.08	319.92	12	1,958	1,881	319.92	751	0.00	25	64	5.33	48.08	319.92
